DATE RECEIVED,SR TYPE
12/19/2012 12:00:00 AM,2
12/18/2012 12:00:00 AM,1
12/17/2012 12:00:00 AM,5
12/15/2012 12:00:00 AM,1
12/14/2012 12:00:00 AM,6
12/13/2012 12:00:00 AM,4
12/12/2012 12:00:00 AM,4
12/11/2012 12:00:00 AM,3
12/09/2012 12:00:00 AM,1
12/08/2012 12:00:00 AM,2
12/07/2012 12:00:00 AM,4
12/06/2012 12:00:00 AM,3
12/05/2012 12:00:00 AM,2
12/04/2012 12:00:00 AM,6
12/03/2012 12:00:00 AM,4
12/01/2012 12:00:00 AM,1
11/30/2012 12:00:00 AM,5
11/29/2012 12:00:00 AM,6
11/28/2012 12:00:00 AM,3
11/27/2012 12:00:00 AM,3
11/26/2012 12:00:00 AM,3
11/25/2012 12:00:00 AM,1
11/24/2012 12:00:00 AM,1
11/23/2012 12:00:00 AM,1
11/21/2012 12:00:00 AM,2
11/20/2012 12:00:00 AM,4
11/19/2012 12:00:00 AM,7
11/16/2012 12:00:00 AM,3
11/15/2012 12:00:00 AM,6
11/14/2012 12:00:00 AM,5
11/13/2012 12:00:00 AM,5
11/11/2012 12:00:00 AM,1
11/09/2012 12:00:00 AM,3
11/08/2012 12:00:00 AM,5
11/07/2012 12:00:00 AM,12
11/06/2012 12:00:00 AM,2
11/05/2012 12:00:00 AM,2
11/04/2012 12:00:00 AM,1
11/03/2012 12:00:00 AM,2
11/02/2012 12:00:00 AM,3
11/01/2012 12:00:00 AM,6
10/31/2012 12:00:00 AM,2
10/30/2012 12:00:00 AM,3
10/29/2012 12:00:00 AM,2
10/28/2012 12:00:00 AM,2
10/26/2012 12:00:00 AM,1
10/24/2012 12:00:00 AM,2
10/23/2012 12:00:00 AM,3
10/22/2012 12:00:00 AM,2
10/20/2012 12:00:00 AM,1
10/19/2012 12:00:00 AM,3
10/18/2012 12:00:00 AM,3
10/17/2012 12:00:00 AM,7
10/16/2012 12:00:00 AM,4
10/15/2012 12:00:00 AM,2
10/11/2012 12:00:00 AM,3
10/10/2012 12:00:00 AM,5
10/09/2012 12:00:00 AM,5
10/08/2012 12:00:00 AM,8
10/05/2012 12:00:00 AM,5
10/04/2012 12:00:00 AM,3
10/03/2012 12:00:00 AM,4
10/02/2012 12:00:00 AM,6
10/01/2012 12:00:00 AM,4
09/28/2012 12:00:00 AM,3
09/27/2012 12:00:00 AM,2
09/26/2012 12:00:00 AM,2
09/25/2012 12:00:00 AM,3
09/24/2012 12:00:00 AM,7
09/23/2012 12:00:00 AM,1
09/21/2012 12:00:00 AM,1
09/20/2012 12:00:00 AM,3
09/19/2012 12:00:00 AM,5
09/18/2012 12:00:00 AM,3
09/17/2012 12:00:00 AM,13
09/15/2012 12:00:00 AM,2
09/14/2012 12:00:00 AM,15
09/13/2012 12:00:00 AM,10
09/12/2012 12:00:00 AM,8
09/10/2012 12:00:00 AM,2
09/09/2012 12:00:00 AM,1
09/07/2012 12:00:00 AM,3
09/06/2012 12:00:00 AM,3
09/05/2012 12:00:00 AM,3
09/04/2012 12:00:00 AM,4
09/03/2012 12:00:00 AM,3
09/02/2012 12:00:00 AM,1
09/01/2012 12:00:00 AM,2
08/31/2012 12:00:00 AM,3
08/30/2012 12:00:00 AM,2
08/29/2012 12:00:00 AM,7
08/28/2012 12:00:00 AM,4
08/27/2012 12:00:00 AM,4
08/24/2012 12:00:00 AM,4
08/23/2012 12:00:00 AM,2
08/22/2012 12:00:00 AM,2
08/21/2012 12:00:00 AM,4
08/20/2012 12:00:00 AM,3
08/19/2012 12:00:00 AM,1
08/17/2012 12:00:00 AM,1
08/16/2012 12:00:00 AM,3
08/15/2012 12:00:00 AM,4
08/14/2012 12:00:00 AM,1
08/13/2012 12:00:00 AM,1
08/10/2012 12:00:00 AM,3
08/09/2012 12:00:00 AM,3
08/08/2012 12:00:00 AM,6
08/07/2012 12:00:00 AM,8
08/06/2012 12:00:00 AM,9
08/05/2012 12:00:00 AM,1
08/04/2012 12:00:00 AM,1
08/03/2012 12:00:00 AM,3
08/02/2012 12:00:00 AM,2
08/01/2012 12:00:00 AM,8
07/31/2012 12:00:00 AM,6
07/30/2012 12:00:00 AM,6
07/27/2012 12:00:00 AM,2
07/26/2012 12:00:00 AM,3
07/25/2012 12:00:00 AM,6
07/24/2012 12:00:00 AM,6
07/23/2012 12:00:00 AM,1
07/20/2012 12:00:00 AM,4
07/19/2012 12:00:00 AM,1
07/18/2012 12:00:00 AM,6
07/17/2012 12:00:00 AM,4
07/16/2012 12:00:00 AM,5
07/15/2012 12:00:00 AM,1
07/13/2012 12:00:00 AM,2
07/12/2012 12:00:00 AM,3
07/11/2012 12:00:00 AM,1
07/10/2012 12:00:00 AM,3
07/09/2012 12:00:00 AM,6
07/06/2012 12:00:00 AM,3
07/05/2012 12:00:00 AM,2
07/04/2012 12:00:00 AM,1
07/03/2012 12:00:00 AM,4
07/02/2012 12:00:00 AM,2
06/30/2012 12:00:00 AM,1
06/28/2012 12:00:00 AM,5
06/27/2012 12:00:00 AM,5
06/26/2012 12:00:00 AM,3
06/25/2012 12:00:00 AM,1
06/22/2012 12:00:00 AM,3
06/21/2012 12:00:00 AM,9
06/20/2012 12:00:00 AM,6
06/19/2012 12:00:00 AM,6
